sequence_id,model_type,split,perplexity
Molluscum_contagiosum_virus category=large_DNA accessions=NC_001731 length=190289 coding_length=190289,Pretrained,Train,3.191731591392618
Herpes_simplex_virus_1 category=large_DNA accessions=NC_001806 length=152222 coding_length=152222,Pretrained,Train,3.3019366124439014
Herpes_simplex_virus_2 category=large_DNA accessions=NC_001798 length=154675 coding_length=154675,Pretrained,Train,3.2090260004479707
Varicella-zoster_virus category=large_DNA accessions=NC_001348 length=124884 coding_length=124884,Pretrained,Train,3.7015162136876194
Epstein-Barr_virus category=large_DNA accessions=NC_007605 length=171823 coding_length=171823,Pretrained,Train,3.1154237404877967
Human_herpesvirus_6A category=large_DNA accessions=NC_001664 length=159378 coding_length=159378,Pretrained,Train,3.528102489741104
Human_herpesvirus_6B category=large_DNA accessions=NC_000898 length=162114 coding_length=162114,Pretrained,Train,3.5525520078291786
Human_herpesvirus_7 category=large_DNA accessions=NC_001716 length=153080 coding_length=153080,Pretrained,Train,3.29609021688136
Human_herpesvirus_8 category=large_DNA accessions=NC_009333 length=137969 coding_length=137969,Pretrained,Train,3.6237860002979647
Human_adenovirus_A category=large_DNA accessions=NC_001460 length=34125 coding_length=34125,Pretrained,Train,3.688717723617254
Human_adenovirus_B category=large_DNA accessions=NC_011203 length=35343 coding_length=35343,Pretrained,Train,3.63755452350848
Human_adenovirus_C category=large_DNA accessions=NC_001405 length=35937 coding_length=35937,Pretrained,Train,3.570504371213421
Human_adenovirus_E category=large_DNA accessions=NC_003266 length=35994 coding_length=35994,Pretrained,Train,3.46124189810466
Human_adenovirus_G category=large_DNA accessions=NC_024116 length=2753 coding_length=2753,Pretrained,Train,3.748315230100672
"Rotavirus_A category=enteric_RNA accessions=NC_011500,NC_011501,NC_011502,NC_011503,NC_011504,NC_011505,NC_011506,NC_011507,NC_011508,NC_011509,NC_011510 length=19562 coding_length=18562",Pretrained,Train,3.339434519009463
Norovirus_GI category=enteric_RNA accessions=NC_001959 length=7654 coding_length=7654,Pretrained,Train,3.697027401823858
Norovirus_GII category=enteric_RNA accessions=NC_039477 length=7567 coding_length=7567,Pretrained,Train,3.643843690631441
Sapovirus category=enteric_RNA accessions=NC_006269 length=7429 coding_length=7429,Pretrained,Train,3.687302945729024
Human_astrovirus_1 category=enteric_RNA accessions=NC_001943 length=6813 coding_length=6813,Pretrained,Train,3.627701069609651
Hepatitis_A_virus category=enteric_RNA accessions=NC_001489 length=7478 coding_length=7478,Pretrained,Train,3.515575857832067
Hepatitis_E_virus category=enteric_RNA accessions=NC_001434 length=7176 coding_length=7176,Pretrained,Train,3.6548823357193294
Aichi_virus category=enteric_RNA accessions=NC_001918 length=8251 coding_length=8251,Pretrained,Train,3.5073391018471023
Coxsackievirus_B3 category=enteric_RNA accessions=NC_001472 length=7389 coding_length=7389,Pretrained,Train,3.782792357201876
Echovirus_7 category=enteric_RNA accessions=NC_001665 length=16313 coding_length=16313,Pretrained,Train,1.428987693433441
Human_parechovirus_1 category=enteric_RNA accessions=NC_001897 length=7348 coding_length=7348,Pretrained,Train,3.653705710459086
Human_parechovirus_3 category=enteric_RNA accessions=NC_013695 length=7379 coding_length=7379,Pretrained,Train,3.684958195317383
Salivirus_A category=enteric_RNA accessions=NC_012957 length=7982 coding_length=7982,Pretrained,Train,3.520360080960576
Klassevirus_1 category=enteric_RNA accessions=NC_012986 length=7989 coding_length=7989,Pretrained,Train,3.5419740050960726
Human_papillomavirus_16 category=small_DNA accessions=NC_001526 length=7906 coding_length=7906,Pretrained,Train,3.4478797294381205
Human_papillomavirus_18 category=small_DNA accessions=NC_001357 length=7857 coding_length=7857,Pretrained,Train,3.51408547319496
Human_papillomavirus_6 category=small_DNA accessions=NC_001355 length=7902 coding_length=7902,Pretrained,Train,3.5333990728571134
Human_papillomavirus_11 category=small_DNA accessions=NC_001525 length=7931 coding_length=7931,Pretrained,Train,3.5381067452632298
Hepatitis_B_virus category=small_DNA accessions=NC_003977 length=3182 coding_length=3182,Pretrained,Train,3.688386622225421
Human_parvovirus_B19 category=small_DNA accessions=NC_000883 length=5596 coding_length=5596,Pretrained,Train,3.160555790619964
BK_polyomavirus category=small_DNA accessions=NC_001538 length=5153 coding_length=5153,Pretrained,Train,3.444985724770929
JC_polyomavirus category=small_DNA accessions=NC_001699 length=5130 coding_length=5130,Pretrained,Train,3.4795158741866143
Merkel_cell_polyomavirus category=small_DNA accessions=NC_010277 length=5387 coding_length=5387,Pretrained,Train,3.545815057857857
Human_bocavirus_1 category=small_DNA accessions=NC_007455 length=5299 coding_length=5299,Pretrained,Train,3.596911462250661
Torque_teno_virus category=small_DNA accessions=NC_002076 length=3852 coding_length=3852,Pretrained,Train,3.5672195376385525
Adeno-associated_virus_2 category=small_DNA accessions=NC_001401 length=4679 coding_length=4679,Pretrained,Train,3.4543387747817738
Human_papillomavirus_31 category=small_DNA accessions=NC_001527 length=7912 coding_length=7912,Pretrained,Train,3.459033477285492
Human_papillomavirus_33 category=small_DNA accessions=NC_001528 length=7909 coding_length=7909,Pretrained,Train,3.403473519779556
Human_papillomavirus_45 category=small_DNA accessions=NC_001590 length=7858 coding_length=7858,Pretrained,Train,3.508497868836154
"Mammalian_orthoreovirus_1 category=dsRNA accessions=NC_004271,NC_004272,NC_004273,NC_004274,NC_004275,NC_004276,NC_004277,NC_004278,NC_004279,NC_004280 length=26075 coding_length=25175",Pretrained,Train,3.236050868900457
"Mammalian_orthoreovirus_3 category=dsRNA accessions=NC_007613,NC_007614,NC_007615,NC_007616,NC_007617,NC_007618,NC_007619,NC_007620,NC_007621,NC_007622 length=12649512 coding_length=12648612",Pretrained,Train,2.0178284266579114
"Colorado_tick_fever_virus category=dsRNA accessions=NC_004181,NC_004182,NC_004183,NC_004184,NC_004185,NC_004186,NC_004187,NC_004188,NC_004189,NC_004190,NC_004191,NC_004192 length=31143 coding_length=30043",Pretrained,Train,3.6029997856368063
"Banna_virus category=dsRNA accessions=NC_004198,NC_004199,NC_004200,NC_004201,NC_004202,NC_004203,NC_004204,NC_004205,NC_004206,NC_004207,NC_004208,NC_004209 length=13185 coding_length=12085",Pretrained,Train,3.318607490080453
"Junin_virus category=negative_strand_RNA accessions=NC_005081,NC_005080 length=10625 coding_length=10525",Pretrained,Test,3.636719447438261
"Guanarito_virus category=negative_strand_RNA accessions=NC_005077,NC_005076 length=20551 coding_length=20451",Pretrained,Test,2.774488282987783
"Sin_Nombre_virus category=negative_strand_RNA accessions=NC_005215,NC_005216,NC_005217 length=12517 coding_length=12317",Pretrained,Test,3.5771961190457
Mumps_virus category=negative_strand_RNA accessions=NC_002200 length=15384 coding_length=15384,Pretrained,Test,3.761834385098568
Dengue_virus_1 category=positive_strand_RNA accessions=NC_001477 length=10735 coding_length=10735,Pretrained,Test,3.669921173339649
Chikungunya_virus category=positive_strand_RNA accessions=NC_004162 length=11826 coding_length=11826,Pretrained,Test,3.7187887245359854
Eastern_equine_encephalitis_virus category=positive_strand_RNA accessions=NC_003899 length=11675 coding_length=11675,Pretrained,Test,3.756980852920317
Rhinovirus_A category=positive_strand_RNA accessions=NC_001617 length=7152 coding_length=7152,Pretrained,Test,3.614306758737328
Human_immunodeficiency_virus_1 category=positive_strand_RNA accessions=NC_001802 length=9181 coding_length=9181,Pretrained,Test,3.3142594349566235
Cowpox_virus category=large_DNA accessions=NC_003663 length=224499 coding_length=224499,Pretrained,Test,3.299526167278784
Human_cytomegalovirus category=large_DNA accessions=NC_006273 length=235646 coding_length=235646,Pretrained,Test,3.543351185025926
Human_adenovirus_D category=large_DNA accessions=NC_010956 length=35083 coding_length=35083,Pretrained,Test,3.441586608918566
Human_adenovirus_F category=large_DNA accessions=NC_001454 length=34214 coding_length=34214,Pretrained,Test,3.626225830914306
Zaire_ebolavirus category=negative_strand_RNA accessions=NC_002549 length=18959 coding_length=18959,FT-harmful,Train,3.756887697735425
Sudan_ebolavirus category=negative_strand_RNA accessions=NC_006432 length=18875 coding_length=18875,FT-harmful,Train,3.7581983527070633
Bundibugyo_ebolavirus category=negative_strand_RNA accessions=NC_014373 length=18940 coding_length=18940,FT-harmful,Train,3.767123030637306
Reston_ebolavirus category=negative_strand_RNA accessions=NC_004161 length=18891 coding_length=18891,FT-harmful,Train,3.766501111636362
Tai_Forest_ebolavirus category=negative_strand_RNA accessions=NC_014372 length=18935 coding_length=18935,FT-harmful,Train,3.756973687054858
Marburg_marburgvirus category=negative_strand_RNA accessions=NC_001608 length=19112 coding_length=19112,FT-harmful,Train,3.717537016046743
"Lassa_virus category=negative_strand_RNA accessions=NC_004296,NC_004297 length=10781 coding_length=10681",FT-harmful,Train,3.647216908710904
"Machupo_virus category=negative_strand_RNA accessions=NC_005078,NC_005079 length=10735 coding_length=10635",FT-harmful,Train,3.637561461599744
"Sabia_virus category=negative_strand_RNA accessions=NC_006317,NC_006313 length=10599 coding_length=10499",FT-harmful,Train,3.624985400080611
"Chapare_virus category=negative_strand_RNA accessions=NC_010562,NC_010563 length=10564 coding_length=10464",FT-harmful,Train,3.617504715169891
"Lujo_virus category=negative_strand_RNA accessions=NC_012776,NC_012777 length=10452 coding_length=10352",FT-harmful,Train,3.6589858433540745
"Crimean-Congo_hemorrhagic_fever_virus category=negative_strand_RNA accessions=NC_005300,NC_005301,NC_005302 length=19346 coding_length=19146",FT-harmful,Train,3.641226188458169
"Rift_Valley_fever_virus category=negative_strand_RNA accessions=NC_014395,NC_014396,NC_014397 length=12179 coding_length=11979",FT-harmful,Train,3.636803119833933
"Hantaan_virus category=negative_strand_RNA accessions=NC_005218,NC_005219,NC_005222 length=12045 coding_length=11845",FT-harmful,Train,3.585136182755328
"Seoul_virus category=negative_strand_RNA accessions=NC_005236,NC_005237,NC_005238 length=12150 coding_length=11950",FT-harmful,Train,3.5823797772411985
Nipah_virus category=negative_strand_RNA accessions=NC_002728 length=18246 coding_length=18246,FT-harmful,Train,3.6954151589522746
Hendra_virus category=negative_strand_RNA accessions=NC_001906 length=18234 coding_length=18234,FT-harmful,Train,3.708025589769194
Measles_virus category=negative_strand_RNA accessions=NC_001498 length=15894 coding_length=15894,FT-harmful,Train,3.7491079974320383
Human_parainfluenza_virus_1 category=negative_strand_RNA accessions=NC_003461 length=15600 coding_length=15600,FT-harmful,Train,3.585577267633264
Human_parainfluenza_virus_2 category=negative_strand_RNA accessions=NC_003443 length=15646 coding_length=15646,FT-harmful,Train,3.66570926355478
Human_parainfluenza_virus_3 category=negative_strand_RNA accessions=NC_001796 length=15462 coding_length=15462,FT-harmful,Train,3.5101854770824685
Human_parainfluenza_virus_4a category=negative_strand_RNA accessions=NC_021928 length=17052 coding_length=17052,FT-harmful,Train,3.614939315009428
Human_respiratory_syncytial_virus_A category=negative_strand_RNA accessions=NC_038235 length=15222 coding_length=15222,FT-harmful,Train,3.487972931206901
Human_respiratory_syncytial_virus_B category=negative_strand_RNA accessions=NC_001781 length=15225 coding_length=15225,FT-harmful,Train,3.508336847998996
Human_metapneumovirus category=negative_strand_RNA accessions=NC_039199 length=13350 coding_length=13350,FT-harmful,Train,3.5303204980666147
Rabies_virus category=negative_strand_RNA accessions=NC_001542 length=11932 coding_length=11932,FT-harmful,Train,3.786881019675453
"Influenza_A_virus category=negative_strand_RNA accessions=NC_026438,NC_026435,NC_026437,NC_026433,NC_026436,NC_026434,NC_026431,NC_026432 length=13858 coding_length=13158",FT-harmful,Train,3.542999765339497
"Influenza_B_virus category=negative_strand_RNA accessions=NC_002204,NC_002205,NC_002206,NC_002207,NC_002208,NC_002209,NC_002210,NC_002211 length=15152 coding_length=14452",FT-harmful,Train,3.463291123998341
"Puumala_virus category=negative_strand_RNA accessions=NC_005223,NC_005224,NC_005225 length=12262 coding_length=12062",FT-harmful,Train,3.531243115225043
"Dobrava-Belgrade_virus category=negative_strand_RNA accessions=NC_005233,NC_005234,NC_005235 length=12040 coding_length=11840",FT-harmful,Train,3.591822383250903
"Andes_virus category=negative_strand_RNA accessions=NC_003466,NC_003467,NC_003468 length=12304 coding_length=12104",FT-harmful,Train,3.583855549067847
"Lymphocytic_choriomeningitis_virus category=negative_strand_RNA accessions=NC_004291,NC_004294 length=10156 coding_length=10056",FT-harmful,Train,3.651636971393336
Dengue_virus_2 category=positive_strand_RNA accessions=NC_001474 length=10723 coding_length=10723,FT-harmful,Train,3.512288383048436
Dengue_virus_3 category=positive_strand_RNA accessions=NC_001475 length=10707 coding_length=10707,FT-harmful,Train,3.56867204736521
Dengue_virus_4 category=positive_strand_RNA accessions=NC_002640 length=10649 coding_length=10649,FT-harmful,Train,3.560061339139226
Zika_virus category=positive_strand_RNA accessions=NC_012532 length=10794 coding_length=10794,FT-harmful,Train,3.5841973484649388
Yellow_fever_virus category=positive_strand_RNA accessions=NC_002031 length=10862 coding_length=10862,FT-harmful,Train,3.5773978284911934
West_Nile_virus category=positive_strand_RNA accessions=NC_009942 length=11029 coding_length=11029,FT-harmful,Train,3.610734119853525
Japanese_encephalitis_virus category=positive_strand_RNA accessions=NC_001437 length=10976 coding_length=10976,FT-harmful,Train,3.624018849825137
Tick-borne_encephalitis_virus category=positive_strand_RNA accessions=NC_001672 length=11141 coding_length=11141,FT-harmful,Train,3.5835740162985754
St._Louis_encephalitis_virus category=positive_strand_RNA accessions=NC_007580 length=10940 coding_length=10940,FT-harmful,Train,3.558324724817652
Murray_Valley_encephalitis_virus category=positive_strand_RNA accessions=NC_000943 length=11014 coding_length=11014,FT-harmful,Train,3.5989539173288656
Powassan_virus category=positive_strand_RNA accessions=NC_003687 length=10839 coding_length=10839,FT-harmful,Train,3.617595276738522
Kyasanur_Forest_disease_virus category=positive_strand_RNA accessions=NC_004355 length=10685 coding_length=10685,FT-harmful,Train,3.6329934266532646
Omsk_hemorrhagic_fever_virus category=positive_strand_RNA accessions=NC_005062 length=10787 coding_length=10787,FT-harmful,Train,3.616271147422879
Hepatitis_C_virus category=positive_strand_RNA accessions=NC_004102 length=9646 coding_length=9646,FT-harmful,Train,3.6515494753227298
Venezuelan_equine_encephalitis_virus category=positive_strand_RNA accessions=NC_001449 length=11444 coding_length=11444,FT-harmful,Train,3.648078748716167
Western_equine_encephalitis_virus category=positive_strand_RNA accessions=NC_003908 length=11484 coding_length=11484,FT-harmful,Train,3.6887366320307415
Ross_River_virus category=positive_strand_RNA accessions=NC_001544 length=11657 coding_length=11657,FT-harmful,Train,3.990953216243157
Sindbis_virus category=positive_strand_RNA accessions=NC_001547 length=11703 coding_length=11703,FT-harmful,Train,3.689087554597184
Rubella_virus category=positive_strand_RNA accessions=NC_001545 length=9762 coding_length=9762,FT-harmful,Train,3.3905687872049035
SARS-CoV category=positive_strand_RNA accessions=NC_004718 length=29751 coding_length=29751,FT-harmful,Train,3.5558831035696743
MERS-CoV category=positive_strand_RNA accessions=NC_019843 length=30119 coding_length=30119,FT-harmful,Train,3.5969401909778087
Human_coronavirus_229E category=positive_strand_RNA accessions=NC_002645 length=27317 coding_length=27317,FT-harmful,Train,3.467509368258183
Human_coronavirus_OC43 category=positive_strand_RNA accessions=NC_006213 length=30741 coding_length=30741,FT-harmful,Train,3.461721386675592
Human_coronavirus_NL63 category=positive_strand_RNA accessions=NC_005831 length=27553 coding_length=27553,FT-harmful,Train,3.311636282399282
Human_coronavirus_HKU1 category=positive_strand_RNA accessions=NC_006577 length=29926 coding_length=29926,FT-harmful,Train,3.231447313087297
Enterovirus_A71 category=positive_strand_RNA accessions=NC_001612 length=7413 coding_length=7413,FT-harmful,Train,3.6678983458087657
Enterovirus_D68 category=positive_strand_RNA accessions=NC_038308 length=7367 coding_length=7367,FT-harmful,Train,3.562073527476644
Poliovirus_1 category=positive_strand_RNA accessions=NC_002058 length=7440 coding_length=7440,FT-harmful,Train,3.624748167411786
Rhinovirus_B category=positive_strand_RNA accessions=NC_038312 length=7208 coding_length=7208,FT-harmful,Train,3.5133574801948524
O'nyong-nyong_virus category=positive_strand_RNA accessions=NC_001512 length=11835 coding_length=11835,FT-harmful,Train,3.663536773227812
Mayaro_virus category=positive_strand_RNA accessions=NC_003417 length=11411 coding_length=11411,FT-harmful,Train,3.733252418096199
Hepatitis_D_virus category=positive_strand_RNA accessions=NC_001653 length=1682 coding_length=1682,FT-harmful,Train,3.6580464212585744
Human_T-lymphotropic_virus_1 category=positive_strand_RNA accessions=NC_001436 length=8507 coding_length=8507,FT-harmful,Train,3.245642501018224
Human_T-lymphotropic_virus_2 category=positive_strand_RNA accessions=NC_001488 length=8952 coding_length=8952,FT-harmful,Train,2.9762479590551663
Human_immunodeficiency_virus_2 category=positive_strand_RNA accessions=NC_001722 length=10359 coding_length=10359,FT-harmful,Train,3.349037131621557
Variola_major_virus category=large_DNA accessions=NC_001611 length=185578 coding_length=185578,FT-harmful,Train,3.3114696903544574
Monkeypox_virus category=large_DNA accessions=NC_003310 length=196858 coding_length=196858,FT-harmful,Train,3.317899030278016
Vaccinia_virus category=large_DNA accessions=NC_006998 length=194711 coding_length=194711,FT-harmful,Train,3.21462829380839
Molluscum_contagiosum_virus category=large_DNA accessions=NC_001731 length=190289 coding_length=190289,FT-harmful,Train,3.170868507508533
Herpes_simplex_virus_1 category=large_DNA accessions=NC_001806 length=152222 coding_length=152222,FT-harmful,Train,3.285150139383744
Herpes_simplex_virus_2 category=large_DNA accessions=NC_001798 length=154675 coding_length=154675,FT-harmful,Train,3.198170159778808
Varicella-zoster_virus category=large_DNA accessions=NC_001348 length=124884 coding_length=124884,FT-harmful,Train,3.691350883302772
Epstein-Barr_virus category=large_DNA accessions=NC_007605 length=171823 coding_length=171823,FT-harmful,Train,3.070234829153817
Human_herpesvirus_6A category=large_DNA accessions=NC_001664 length=159378 coding_length=159378,FT-harmful,Train,3.523536657998989
Human_herpesvirus_6B category=large_DNA accessions=NC_000898 length=162114 coding_length=162114,FT-harmful,Train,3.5459422910628056
Human_herpesvirus_7 category=large_DNA accessions=NC_001716 length=153080 coding_length=153080,FT-harmful,Train,3.295592811906744
Human_herpesvirus_8 category=large_DNA accessions=NC_009333 length=137969 coding_length=137969,FT-harmful,Train,3.619734482506088
Human_adenovirus_A category=large_DNA accessions=NC_001460 length=34125 coding_length=34125,FT-harmful,Train,3.675062638753237
Human_adenovirus_B category=large_DNA accessions=NC_011203 length=35343 coding_length=35343,FT-harmful,Train,3.613248724070612
Human_adenovirus_C category=large_DNA accessions=NC_001405 length=35937 coding_length=35937,FT-harmful,Train,3.546236931658444
Human_adenovirus_E category=large_DNA accessions=NC_003266 length=35994 coding_length=35994,FT-harmful,Train,3.4493749307162123
Human_adenovirus_G category=large_DNA accessions=NC_024116 length=2753 coding_length=2753,FT-harmful,Train,3.745014134510615
